"State.Code","County.Code","GIS.Join.Match.Code","Data.File.Year","Region.Code","Division.Code","State.Name","County.Name","CENSUS2010","X","Full.Name","POPESTIMATE042010","HUBasedPop042010","Error","PctError","AbsPctError","Error_HUBasedPop","PctError_HUBasedPop","AbsPctError_HUBasedPop"
"01","001","G0100010","2010","3","6","Alabama","Autauga County",54571,"","Autauga County Alabama",50973,50368,-3598,-6.59324549669238,6.59324549669238,-4203,-7.70189294680325,7.70189294680325
"01","003","G0100030","2010","3","6","Alabama","Baldwin County",182265,"","Baldwin County Alabama",182664,201113,399,0.218912023701753,0.218912023701753,18848,10.3409870243876,10.3409870243876
"01","005","G0100050","2010","3","6","Alabama","Barbour County",27457,"","Barbour County Alabama",29656,30235,2199,8.00888662271916,8.00888662271916,2778,10.1176384892741,10.1176384892741
"01","007","G0100070","2010","3","6","Alabama","Bibb County",22915,"","Bibb County Alabama",21438,20912,-1477,-6.44555967706742,6.44555967706742,-2003,-8.74099934540694,8.74099934540694
"01","009","G0100090","2010","3","6","Alabama","Blount County",57322,"","Blount County Alabama",58254,53080,932,1.62590279473849,1.62590279473849,-4242,-7.40030005931405,7.40030005931405
"01","011","G0100110","2010","3","6","Alabama","Bullock County",10914,"","Bullock County Alabama",10841,12035,-73,-0.668865677111966,0.668865677111966,1121,10.2712112882536,10.2712112882536
"01","013","G0100130","2010","3","6","Alabama","Butler County",20947,"","Butler County Alabama",20029,22389,-918,-4.38248913925622,4.38248913925622,1442,6.88404067408221,6.88404067408221
"01","015","G0100150","2010","3","6","Alabama","Calhoun County",118572,"","Calhoun County Alabama",113486,117966,-5086,-4.28937691866545,4.28937691866545,-606,-0.51108187430422,0.51108187430422
"01","017","G0100170","2010","3","6","Alabama","Chambers County",34215,"","Chambers County Alabama",34088,38794,-127,-0.371182230016075,0.371182230016075,4579,13.3830191436504,13.3830191436504
"01","019","G0100190","2010","3","6","Alabama","Cherokee County",25989,"","Cherokee County Alabama",24408,25215,-1581,-6.08334295278772,6.08334295278772,-774,-2.97818307745585,2.97818307745585
"01","021","G0100210","2010","3","6","Alabama","Chilton County",43643,"","Chilton County Alabama",43112,42316,-531,-1.21668996173499,1.21668996173499,-1327,-3.04057924523979,3.04057924523979
"01","023","G0100230","2010","3","6","Alabama","Choctaw County",13859,"","Choctaw County Alabama",13870,16511,11,0.079370805974457,0.079370805974457,2652,19.13557976766,19.13557976766
"01","025","G0100250","2010","3","6","Alabama","Clarke County",25833,"","Clarke County Alabama",25845,29006,12,0.0464522122866102,0.0464522122866102,3173,12.2827391321178,12.2827391321178
"01","027","G0100270","2010","3","6","Alabama","Clay County",13932,"","Clay County Alabama",13507,14703,-425,-3.05053115130635,3.05053115130635,771,5.53402239448751,5.53402239448751
"01","029","G0100290","2010","3","6","Alabama","Cleburne County",14972,"","Cleburne County Alabama",14852,14849,-120,-0.801496126102057,0.801496126102057,-123,-0.821533529254609,0.821533529254609
"01","031","G0100310","2010","3","6","Alabama","Coffee County",49948,"","Coffee County Alabama",48737,49574,-1211,-2.42452150236246,2.42452150236246,-374,-0.748778729879074,0.748778729879074
"01","033","G0100330","2010","3","6","Alabama","Colbert County",54428,"","Colbert County Alabama",54629,58866,201,0.369295215697803,0.369295215697803,4438,8.15389137943705,8.15389137943705
"01","035","G0100350","2010","3","6","Alabama","Conecuh County",13228,"","Conecuh County Alabama",12791,14651,-437,-3.30359842757787,3.30359842757787,1423,10.7574841245842,10.7574841245842
"01","037","G0100370","2010","3","6","Alabama","Coosa County",11539,"","Coosa County Alabama",10584,12303,-955,-8.27628044024612,8.27628044024612,764,6.6210243521969,6.6210243521969
"01","039","G0100390","2010","3","6","Alabama","Covington County",37765,"","Covington County Alabama",36693,39014,-1072,-2.83860717595657,2.83860717595657,1249,3.30729511452403,3.30729511452403
